#TYPE;Selected.System.Management.ManagementObject;;
date;user;productname;
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2799926)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3140245)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3155178)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3084135)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2509553)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Windows 7 Service Pack 1 (KB976932)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2620704)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2919469)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2884256)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2893294)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3138612)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2552343)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2991963)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2892074)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3067904)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3161102)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;2017-09 kumulativn? aktualizace zabezpe?en? a pro zv??en? kvality pro rozhran? .NET Framework 3.5.1, 4.5.2, 4.6, 4.6.1, 4.6.2 a 
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3107998)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3159398)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3086255)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2732059)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2545698)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3138378)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2579686)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2660075)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB2973112)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2685939)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3006137)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2532531)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2800095)
